Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC,Index
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,3000,26.3,,,,,,,73
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2400,22,,,,,,,74
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2700,22,,,,,,,75
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3000,22,,,,,,,76
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3300,22,,,,,,,77
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3600,22,,,,,,,78
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,2400,26.3,,,,,,,79
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,2700,26.3,,,,,,,80
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,3000,26.3,,,,,,,81
GIB,1 x 13mm GIB Toughline,TE/TE,13,1200,2400,11.7,,,,,,,82
GIB,1 x 13mm GIB Toughline,TE/TE,13,1200,2700,11.7,,,,,,,83
GIB,1 x 13mm GIB Toughline,TE/TE,13,1200,3000,11.7,,,,,,,84
GIB,1 x 13mm GIB Toughline,TE/TE,13,1200,3600,11.7,,,,,,,85
GIB,1 x 13mm GIB Toughline Aqua,TE/TE,13,1200,2400,11.4,,,,,,,86
GIB,1 x 13mm GIB Toughline Aqua,TE/TE,13,1200,2700,11.4,,,,,,,87
GIB,1 x 13mm GIB Toughline Aqua,TE/TE,13,1200,3000,11.4,,,,,,,88
GIB,1 x 25mm GIB Barrierline,SE/SE,25,600,3000,20.2,,,,,,,89
GIB,1 x 13mm GIB X-Block,TE/TE,13,1200,2400,18.3,,,,,,,90
GIB,1 x 13mm GIB X-Block,TE/TE,13,1200,3000,18.3,,,,,,,91
GIB,1 x 13mm GIB Quietline,,13,1200,2400,8.3,,,,,,,92
Asona,1 x 12.5mm Asona Knauf Danolife Stratopanel,,12.5,1200,2000,8.7,,,,,,,93
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,2400,8.9,,,,,,,94
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,2700,8.9,,,,,,,95
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,3000,8.9,,,,,,,96
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,3300,8.9,,,,,,,97
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,3600,8.9,,,,,,,98
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,4200,8.9,,,,,,,99
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,4800,8.9,,,,,,,100
Elephent ,1 x 13mm Elephent Standard,TE/TE,13,1200,6000,8.9,,,,,,,101
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,2400,7.4,,,,,,,102
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,2700,7.4,,,,,,,103
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,3000,7.4,,,,,,,104
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,3300,7.4,,,,,,,105
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,3600,7.4,,,,,,,106
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,4200,7.4,,,,,,,107
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,4800,7.4,,,,,,,108
Elephent ,1 x 10mm Elephent Standard plus,TE/TE,10,1200,6000,7.4,,,,,,,109
Elephent ,1 x 10mm Horizontal Standard Plus,TE/SE,10,1200,2400,7.4,,,,,,,110
Elephent ,1 x 10mm Horizontal Standard Plus,TE/SE,10,1200,3000,7.4,,,,,,,111
Elephent ,1 x 10mm Horizontal Standard Plus,TE/SE,10,1200,3600,7.4,,,,,,,112
Elephent ,1 x 10mm Horizontal Standard Plus,TE/SE,10,1200,4200,7.4,,,,,,,113
Elephent ,1 x 10mm Horizontal Standard Plus,TE/SE,10,1200,4800,7.4,,,,,,,114
Elephent ,1 x 10mm Horizontal Standard Plus,TE/SE,10,1200,6000,7.4,,,,,,,115
Elephent ,1 x 10mm Wide Horizontal Standard,TE/SE,10,1350,3600,7.4,,,,,,,116
Elephent ,1 x 10mm Wide Horizontal Standard,TE/SE,10,1350,4800,7.4,,,,,,,117
Elephent ,1 x 10mm Wide Horizontal Standard,TE/SE,10,1350,6000,7.4,,,,,,,118
Elephent ,1 x 10mm Multismart,TE/TE,10,1200,2400,9,,,,,,,119
Elephent ,1 x 10mm Multismart,TE/TE,10,1200,2700,9,,,,,,,120
Elephent ,1 x 10mm Multismart,TE/TE,10,1200,3000,9,,,,,,,121
Elephent ,1 x 10mm Multismart,TE/TE,10,1200,3600,9,,,,,,,122
Elephent ,1 x 10mm Multismart,TE/TE,10,1200,4800,9,,,,,,,123
Elephent ,1 x 10mm Horizontal MultiSmart,TE/SE,10,1200,4800,9,,,,,,,124
Elephent ,1 x 13mm Multismart,TE/TE,13,1200,2400,11.8,,,,,,,125
Elephent ,1 x 13mm Multismart,TE/TE,13,1200,2700,11.8,,,,,,,126
Elephent ,1 x 13mm Multismart,TE/TE,13,1200,3000,11.8,,,,,,,127
Elephent ,1 x 13mm Multismart,TE/TE,13,1200,3300,11.8,,,,,,,128
Elephent ,1 x 13mm Multismart,TE/TE,13,1200,3600,11.8,,,,,,,129
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,2400,7.4,,,,,,,130
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,2700,7.4,,,,,,,131
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,3000,7.4,,,,,,,132
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,3300,7.4,,,,,,,133
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,3600,7.4,,,,,,,134
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,4200,7.4,,,,,,,135
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,4800,7.4,,,,,,,136
Elephent ,1 x 10mm Firesmart (Standard-Plus),TE/TE,10,1200,6000,7.4,,,,,,,137
Elephent ,1 x 13mm Firesmart (Multismart),TE/TE,13,1200,2400,11.8,,,,,,,138
Elephent ,1 x 13mm Firesmart (Multismart),TE/TE,13,1200,2700,11.8,,,,,,,139
Elephent ,1 x 13mm Firesmart (Multismart),TE/TE,13,1200,3000,11.8,,,,,,,140
Elephent ,1 x 13mm Firesmart (Multismart),TE/TE,13,1200,3300,11.8,,,,,,,141
Elephent ,1 x 13mm Firesmart (Multismart),TE/TE,13,1200,3600,11.8,,,,,,,142
Elephent ,1 x 16mm Firesmart,TE/TE,16,1200,3000,14.2,,,,,,,143
Elephent ,1 x 16mm Firesmart,TE/TE,16,1200,3300,14.2,,,,,,,144
Elephent ,1 x 16mm Firesmart,TE/TE,16,1200,3600,14.2,,,,,,,145
Elephent ,1 x 10mm Aquasmart,TE/TE,10,1200,2400,8.4,,,,,,,146
Elephent ,1 x 10mm Aquasmart,TE/TE,10,1200,2700,8.4,,,,,,,147
Elephent ,1 x 10mm Aquasmart,TE/TE,10,1200,3000,8.4,,,,,,,148
Elephent ,1 x 10mm Aquasmart,TE/TE,10,1200,3600,8.4,,,,,,,149
Elephent ,1 x 10mm Horizontal Aquasmart,TE/SE,10,1200,2400,8.4,,,,,,,150
Elephent ,1 x 10mm Horizontal Aquasmart,TE/SE,10,1200,4800,8.4,,,,,,,151
Elephent ,1 x 13mm Aquasmart,TE/TE,13,1200,2400,11.5,,,,,,,152
Elephent ,1 x 13mm Aquasmart,TE/TE,13,1200,2700,11.5,,,,,,,153
Elephent ,1 x 13mm Aquasmart,TE/TE,13,1200,3000,11.5,,,,,,,154
Elephent ,1 x 13mm Aquasmart,TE/TE,13,1200,3600,11.5,,,,,,,155
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,2400,17.8,,,,,,,156
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,2700,17.8,,,,,,,157
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,3000,17.8,,,,,,,158
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,3300,17.8,,,,,,,159
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,3600,17.8,,,,,,,160
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,4200,17.8,,,,,,,161
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,4800,17.8,,,,,,,162
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,6000,17.8,,,,,,,163
Elephant,2 x 10mm Elephant MultiSmart,TE/TE,10-Oct,1200,2400,18,,,,,,,164
Elephant,2 x 10mm Elephant MultiSmart,TE/TE,10-Oct,1200,2700,18,,,,,,,165
Elephant,2 x 10mm Elephant MultiSmart,TE/TE,10-Oct,1200,3000,18,,,,,,,166
Elephant,2 x 10mm Elephant MultiSmart,TE/TE,10-Oct,1200,3600,18,,,,,,,167
Elephant,2 x 10mm Elephant MultiSmart,TE/TE,10-Oct,1200,4800,18,,,,,,,168
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,2400,11.8,,,,,,,169
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,2700,11.8,,,,,,,170
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,3000,11.8,,,,,,,171
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,3300,11.8,,,,,,,172
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,3600,11.8,,,,,,,173
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,2400,14.2,,,,,,,174
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,2700,14.2,,,,,,,175
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,3000,14.2,,,,,,,176
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,2400,14.2,,,,,,,177
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,2700,14.2,,,,,,,178
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,3000,14.2,,,,,,,179
Elephant,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,TE/TE,13/13,1200,2400,17.9,,,,,,,180
Elephant,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,TE/TE,13/13,1200,2700,17.9,,,,,,,181
Elephant,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,TE/TE,13/13,1200,3000,17.9,,,,,,,182
Elephant,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,TE/TE,13/13,1200,3600,17.9,,,,,,,183
Elephant,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,TE/TE,13/13,1200,4800,17.9,,,,,,,184
Elephant,2 x 13mm Elephant MultiSmart,TE/TE,13/13,1200,2400,23.6,,,,,,,185
Elephant,2 x 13mm Elephant MultiSmart,TE/TE,13/13,1200,2700,23.6,,,,,,,186
Elephant,2 x 13mm Elephant MultiSmart,TE/TE,13/13,1200,3000,23.6,,,,,,,187
Elephant,2 x 13mm Elephant MultiSmart,TE/TE,13/13,1200,3300,23.6,,,,,,,188
Elephant,2 x 13mm Elephant MultiSmart,TE/TE,13/13,1200,3600,23.6,,,,,,,189
Elephant,2 x 16mm Elephant FireSmart,TE/TE,16/16,1200,2400,28.4,,,,,,,190
Elephant,2 x 16mm Elephant FireSmart,TE/TE,16/16,1200,2700,28.4,,,,,,,191
Elephant,2 x 16mm Elephant FireSmart,TE/TE,16/16,1200,3000,28.4,,,,,,,192
Elephant,3 1 x 16mm Elephant FireSmart and 1 x 13mm Elephant MultiSmart,TE/TE,13/16,1200,2400,26,,,,,,,193
Elephant,3 1 x 16mm Elephant FireSmart and 1 x 13mm Elephant MultiSmart,TE/TE,13/16,1200,2700,26,,,,,,,194
Elephant,3 1 x 16mm Elephant FireSmart and 1 x 13mm Elephant MultiSmart,TE/TE,13/16,1200,3000,26,,,,,,,195
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,2400,8.9,,,,,,,196
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,2700,8.9,,,,,,,197
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,3000,8.9,,,,,,,198
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,3300,8.9,,,,,,,199
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,3600,8.9,,,,,,,200
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,4200,8.9,,,,,,,201
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,4800,8.9,,,,,,,202
Elephant,1 x 13mm Elephant Standard,TE/TE,13,1200,6000,8.9,,,,,,,203
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,2400,17.8,,,,,,,204
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,2700,17.8,,,,,,,205
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,3000,17.8,,,,,,,206
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,3300,17.8,,,,,,,207
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,3600,17.8,,,,,,,208
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,4200,17.8,,,,,,,209
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,4800,17.8,,,,,,,210
Elephant,2 x 13mm Elephant Standard,TE/TE,13/13,1200,6000,17.8,,,,,,,211
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,2400,11.8,,,,,,,212
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,2700,11.8,,,,,,,213
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,3000,11.8,,,,,,,214
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,3300,11.8,,,,,,,215
Elephant,1 x 13mm Elephant MultiSmart,TE/TE,13,1200,3600,11.8,,,,,,,216
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,2400,14.2,,,,,,,217
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,2700,14.2,,,,,,,218
Elephant,1 x 16mm Elephant FireSmart,TE/TE,16,1200,3000,14.2,,,,,,,219
Boral,1 x 12.5mm Boral Echostop - 3mm Square Hole Perforated,,12.5,1200,2400,9.7,0.65,0.4,,,,,220
Boral,1 x 12.5mm Boral Echostop - 6mm Square Hole Perforated,,12.5,1200,2400,9.7,0.65,0.4,,,,,221
Boral,1 x 12.5mm Boral Echostop - 12mm Square Hole Perforated,,12.5,1200,2400,9,0.75,0.55,,,,,222
Boral,1 x 13mm Boral Sheetrock standard,RE,13,1200,2700,7.2,,,,,,,223
Boral,1 x 13mm Boral Sheetrock standard,RE,13,1200,3000,7.2,,,,,,,224
Boral,1 x 13mm Boral Sheetrock standard,RE,13,1200,3600,7.2,,,,,,,225
Boral,1 x 13mm Boral Sheetrock standard,RE,13,1200,4800,7.2,,,,,,,226
Boral,1 x 13mm Boral Sheetrock standard,RE,13,1350,3600,7.2,,,,,,,227
Boral,1 x 13mm Boral Sheetrock standard,RE,13,1350,4800,7.2,,,,,,,228
Boral,1 x 13mm Boral Sheetrock standard,RE/SE,13,1350,4800,7.2,,,,,,,229
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,2400,5.9,,,,,,,230
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,2700,5.9,,,,,,,231
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,3000,5.9,,,,,,,232
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,3600,5.9,,,,,,,233
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,4200,5.9,,,,,,,234
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,4800,5.9,,,,,,,235
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1200,6000,5.9,,,,,,,236
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1350,3000,5.9,,,,,,,237
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1350,3600,5.9,,,,,,,238
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1350,4200,5.9,,,,,,,239
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1350,4800,5.9,,,,,,,240
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE,10,1350,6000,5.9,,,,,,,241
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE/SE,10,1200,6000,5.9,,,,,,,242
Boral,1 x 10mm Boral Sheetrock Ceiling Board,RE/SE,10,1350,6000,5.9,,,,,,,243
Boral,1 x 10mm Boral Unispan,RE,10,1200,2400,7.2,,,,,,,244
Boral,1 x 10mm Boral Unispan,RE,10,1200,2700,7.2,,,,,,,245
Boral,1 x 10mm Boral Unispan,RE,10,1200,3000,7.2,,,,,,,246
Boral,1 x 10mm Boral Unispan,RE,10,1200,3600,7.2,,,,,,,247
Boral,1 x 10mm Boral Unispan,RE,10,1200,4200,7.2,,,,,,,248
Boral,1 x 10mm Boral Unispan,RE,10,1200,4800,7.2,,,,,,,249
Boral,1 x 10mm Boral Unispan,RE,10,1200,6000,7.2,,,,,,,250
Boral,1 x 10mm Boral Unispan,RE,10,1350,3000,7.2,,,,,,,251
Boral,1 x 10mm Boral Unispan,RE,10,1350,3600,7.2,,,,,,,252
Boral,1 x 10mm Boral Unispan,RE,10,1350,4200,7.2,,,,,,,253
Boral,1 x 10mm Boral Unispan,RE,10,1350,4800,7.2,,,,,,,254
Boral,1 x 10mm Boral Unispan,RE,10,1350,6000,7.2,,,,,,,255
Boral,1 x 10mm Boral Unispan,RE/SE,10,1200,6000,7.2,,,,,,,256
Boral,1 x 10mm Boral Unispan,RE/SE,10,1350,6000,7.2,,,,,,,257
Boral,1 x 6.5mm Boral Flexiboard,RE,6.5,1200,3600,4.1,,,,,,,258
Boral,1 x 10mm Boral Soundstop,RE,10,1200,3600,9,,,,,,,259
Boral,1 x 10mm Boral Soundstop,RE,10,1200,4800,9,,,,,,,260
Boral,1 x 10mm Boral Soundstop,RE,10,1350,4800,9,,,,,,,261
Boral,1 x 10mm Boral Soundstop,RE,13,1200,3000,11.8,,,,,,,262
Boral,1 x 10mm Boral Soundstop,RE,13,1200,3600,11.8,,,,,,,263
Boral,1 x 10mm Boral Soundstop,RE,13,1350,3600,11.8,,,,,,,264
Boral,1 x 10mm Boral Standard,RE,10,1200,2400,6.8,,,,,,,265
Boral,1 x 10mm Boral Standard,RE,10,1200,2700,6.8,,,,,,,266
Boral,1 x 10mm Boral Standard,RE,10,1200,3000,6.8,,,,,,,267
Boral,1 x 10mm Boral Standard,RE,10,1200,3600,6.8,,,,,,,268
Boral,1 x 10mm Boral Standard,RE,10,1200,4200,6.8,,,,,,,269
Boral,1 x 10mm Boral Standard,RE,10,1200,4800,6.8,,,,,,,270
Boral,1 x 10mm Boral Standard,RE,10,1200,6000,6.8,,,,,,,271
Boral,1 x 10mm Boral Standard,RE,10,1350,3000,6.8,,,,,,,272
Boral,1 x 10mm Boral Standard,RE,10,1350,3600,6.8,,,,,,,273
Boral,1 x 10mm Boral Standard,RE,10,1350,4200,6.8,,,,,,,274
Boral,1 x 10mm Boral Standard,RE,10,1350,4800,6.8,,,,,,,275
Boral,1 x 10mm Boral Standard,RE,10,1350,6000,6.8,,,,,,,276
Boral,1 x 13mm Boral Standard,RE,13,900,2700,8.6,,,,,,,277
Boral,1 x 13mm Boral Standard,RE,13,1200,3000,8.6,,,,,,,278
Boral,1 x 13mm Boral Standard,RE,13,1200,3600,8.6,,,,,,,279
Boral,1 x 13mm Boral Standard,RE,13,1200,4200,8.6,,,,,,,280
Boral,1 x 13mm Boral Standard,RE,13,1200,4800,8.6,,,,,,,281
Boral,1 x 13mm Boral Standard,RE,13,1200,6000,8.6,,,,,,,282
Boral,1 x 13mm Boral Standard,RE,13,1350,3000,8.6,,,,,,,283
Boral,1 x 13mm Boral Standard,RE,13,1350,3600,8.6,,,,,,,284
Boral,1 x 13mm Boral Standard,RE,13,1350,4200,8.6,,,,,,,285
Boral,1 x 13mm Boral Standard,RE,13,1350,4800,8.6,,,,,,,286
Boral,1 x 10mm Boral Standard,SE,10,900,2100,6.8,,,,,,,287
Boral,1 x 10mm Boral Standard,SE,10,900,2400,6.8,,,,,,,288
Boral,1 x 10mm Boral Standard,SE,10,900,2700,6.8,,,,,,,289
Boral,1 x 10mm Boral Standard,SE,10,1200,2100,6.8,,,,,,,290
Boral,1 x 10mm Boral Standard,SE,10,1200,2400,6.8,,,,,,,291
Boral,1 x 10mm Boral Standard,SE,10,1200,2700,6.8,,,,,,,292
Boral,1 x 13mm Boral Standard,RE/SE,13,1375,3600,8.6,,,,,,,293
