Manufacturer,Name of systems,Edge Type,Fire Rating (ISO 5660 P1&2),STC (ASTM E413),Rw (dB - EN ISO 10848),IIC (ASTM E989),Name of Lining,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),Top Cross Rails Type,Furring Channels Type,Top Cross Rails Capacity (N),Top Cross Rails Weight (kg/m),Top Cross Rails Spacing (mm),Furring Channel Capacity (N),Furring Channel Weight (kg/m),Furring Channel Spacing (mm),Perimeter Restraint,Perimeter Restraint Capacity (N),Lining index,Grids Index
GIB,Fyreline GBSC 90,TE/TE,90/90/90,53,52,43,1 x 13mm and 1 x 16mm GIB Fyreline,13/16,1200,2700,26.3,Rondo Xpress XDH1,Rondo Xpress XD21200,950,0.378,1200,650,0.468,600,FC140-142,1300,72,3
GIB,Fyreline GBSC 90,TE/TE,90/90/90,53,52,43,1 x 13mm and 1 x 16mm GIB Fyreline,13/16,1200,3000,26.3,Rondo Xpress XDH1,Rondo Xpress XD21200,950,0.378,1200,650,0.468,600,FC140-142,1300,73,3
GIB,Fyreline GBSCA 45,TE/TE,45/45/45,56,56,39-71,2 x 13mm GIB Fyreline,13/13,1200,2400,22,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,74,4
GIB,Fyreline GBSCA 45,TE/TE,45/45/45,56,56,39-71,2 x 13mm GIB Fyreline,13/13,1200,2700,22,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,75,4
GIB,Fyreline GBSCA 45,TE/TE,45/45/45,56,56,39-71,2 x 13mm GIB Fyreline,13/13,1200,3000,22,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,76,4
GIB,Fyreline GBSCA 45,TE/TE,45/45/45,56,56,39-71,2 x 13mm GIB Fyreline,13/13,1200,3300,22,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,77,4
GIB,Fyreline GBSCA 45,TE/TE,45/45/45,56,56,39-71,2 x 13mm GIB Fyreline,13/13,1200,3600,22,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,78,4
GIB,Fyreline GBSCA 60a,TE/TE,60/60/60,56,56,39-72,1 x 13mm and 1 x 16mm GIB Fyreline,13/16,1200,2400,26.3,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,79,4
GIB,Fyreline GBSCA 60a,TE/TE,60/60/60,56,56,39-72,1 x 13mm and 1 x 16mm GIB Fyreline,13/16,1200,2700,26.3,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,80,4
GIB,Fyreline GBSCA 60a,TE/TE,60/60/60,56,56,39-72,1 x 13mm and 1 x 16mm GIB Fyreline,13/16,1200,3000,26.3,USG Boral ScrewFix DJ38,USG Boral ScrewFix FC37,950,0.378,1200,650,0.468,600,FC140-142,1300,81,4
